Title,Year,Synopsis,Review,Original Language,Sentiment
The Shawshank Redemption ,1994,"Andy Dufresne (Tim Robbins), a successful banker, is wrongfully convicted of murdering his wife and her lover. He befriends a fellow inmate, Red (Morgan Freeman), and uses his banking skills to help the prison staff, eventually gaining their respect.","""The Shawshank Redemption is an inspiring tale of hope and friendship, with outstanding performances by Tim Robbins and Morgan Freeman. The story is incredibly moving and will stay with you long after the credits roll.""",English,POSITIVE
The Dark Knight ,2008,"Batman (Christian Bale) teams up with District Attorney Harvey Dent (Aaron Eckhart) and Police Lieutenant Jim Gordon (Gary Oldman) to take down the Joker (Heath Ledger), who is terrorizing Gotham City.","""The Dark Knight is a thrilling and intense superhero movie, with outstanding performances by Heath Ledger as the Joker and Christian Bale as Batman. The film keeps you on the edge of your seat from start to finish, and the action sequences are some of the best in the genre.""",English,POSITIVE
Forrest Gump,1994,Forrest Gump (Tom Hanks) is a simple man with a low IQ who becomes involved in some of the major events of the 20th century. He falls in love with his childhood friend Jenny (Robin Wright) and tries to help her through her struggles.,"""Forrest Gump is a heartwarming and inspirational movie, with a fantastic performance by Tom Hanks in the lead role. The film is a powerful reminder of the value of friendship and the importance of perseverance in the face of adversity.""",English,POSITIVE
The Godfather ,1972,"Don Vito Corleone (Marlon Brando) is the head of a powerful Mafia family in New York City. When he is shot and nearly killed, his son Michael (Al Pacino) takes over the family business, becoming embroiled in a web of violence and betrayal.","""The Godfather is a classic movie that stands the test of time, with outstanding performances by Marlon Brando and Al Pacino. The film is a masterclass in storytelling, with a gripping plot and memorable characters that keep you engaged from start to finish.""",English,POSITIVE
Inception,2010,Dom Cobb (Leonardo DiCaprio) is a skilled thief who enters people's dreams to steal their secrets. He is hired by a wealthy businessman to perform a seemingly impossible task: to implant an idea in someone's mind.,"""Inception is a mind-bending and visually stunning movie, with outstanding performances by Leonardo DiCaprio and the rest of the cast. The film is a masterpiece of storytelling, with a complex plot that keeps you guessing until the very end.""",English,POSITIVE
Blade Runner 2049,2017,"Officer K (Ryan Gosling), a new blade runner for the LAPD, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. His discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former blade runner who's been missing for 30 years.","""Boring and too long. Nothing like the original movie."" - IMDb user review",English,NEGATIVE
Scott Pilgrim vs. the World,2010,Scott Pilgrim (Michael Cera) must defeat his new girlfriend's seven evil exes in order to win her heart.,"""It was difficult to sit through the whole thing. Annoying, unfunny and not very interesting."" - Rotten Tomatoes user review",English,NEGATIVE
The Nice Guys,2016,"In 1970s Los Angeles, a private eye (Ryan Gosling) and a tough enforcer (Russell Crowe) investigate the disappearance of a young woman and the death of a star.","""The Nice Guys tries too hard to be funny, and the result is a disjointed mess of a movie."" - Metacritic user review",English,NEGATIVE
Solo: A Star Wars Story,2018,A young Han Solo (Alden Ehrenreich) joins a group of smugglers to pull off a dangerous heist.,"""Dull and pointless, with none of the magic of the original Star Wars movies."" - IMDb user review",English,NEGATIVE
The Island,2005,"In a future where people are cloned for organ harvesting, Lincoln Six Echo (Ewan McGregor) and Jordan Two Delta (Scarlett Johansson) escape their facility and go on the run.","""The Island is a bland and forgettable sci-fi thriller that wastes a talented cast on a tired and derivative plot."" - Rotten Tomatoes user review",English,NEGATIVE
La La Land,2016,"This musical tells the story of a grassy actress and a jazz pianist who fall in love in Los Angeles. The film was hailed for its enchanting music, stunning dance scenes and outstanding performances.","""La La Land is an absolutely beautiful film with songs that stay in the head for days. The actors are amazing and their alchemy is palpable. The dance scenes are absolutely dazzling and the story is touching and authentic.""",French,POSITIVE
Intouchables,2011,"This film tells the story of the unlikely friendship between a tetraplegic man and his help at home, a young man from the suburbs. The film was hailed for his intelligent humour, moving performances and his universal message of friendship and understanding.","""Untouchables is an incredibly touching film with incredible actors and an inspiring story. The jokes are smart and never offensive, and the emotion is perfectly dosed. It's a film that will make you laugh and cry, and that will remind you of the importance of friendship and compassion.""",French,POSITIVE
Amélie,2001,"This romantic comedy tells the story of Amélie, a shy and dreamy young woman who decides to change people's lives around her. The film was hailed for her colorful and imaginative aesthetic, her original enchanted band and the charismatic performance of Audrey Tautou.","""Amélie is an absolutely charming film that will make you smile from beginning to end. The aesthetic of the film is beautiful and imaginative, and the music is enchanting. Audrey Tautou is incredibly charismatic in the title role, and the story is full of touching moments and unforgettable characters.""",French,POSITIVE
Les Choristes,2004,"This film tells the story of a music teacher who tries to change the lives of the difficult students of a boarding school for children in difficulty. The film was hailed for its moving music, its dazzling performances and its ability to touch the hearts of the public.","""The Chorists is a wonderful film that will make you laugh and cry. Music is absolutely moving and the performances are incredible, especially that of young actors. History is touching and universal, and it shows the importance of art and education to transform lives.""",French,POSITIVE
Le Fabuleux Destin d'Amélie Poulain,2001,"This romantic comedy tells the story of Amélie, a shy young woman who decides to change people's lives around her. The film was hailed for her colorful and imaginative aesthetic, her original enchantment band and the charismatic performance of Audrey Tautou.","""Amélie Poulain's Fabulous Destiny is an absolutely charming film that will make you smile from beginning to end. The aesthetics of the film are beautiful and imaginative, and the music is enchanting. Audrey Tautou is incredibly charismatic in the title role, and the story is full of touching moments and unforgettable characters.""",French,POSITIVE
Le Dîner de Cons,1998,"The film follows the story of a group of rich friends who organize a weekly dinner where everyone has to bring a ""idiot"" to mock him. When one of the guests meets a guest who could be the greatest ""idiot"" of all, things don't go as planned.","""I didn't like this movie at all. The concept of laughing at people who are considered idiots is offensive and the film couldn't make me laugh. The characters are all unpleasant and the story is boring.""",French,NEGATIVE
La Tour Montparnasse Infernale,2001,"Two incompetent office employees find themselves trapped in the Montparnasse Tower elevator, which is being sabotaged, so they have to save the building and its occupants before it is too late.","""I can't believe I wasted time watching this nonsense. The film is full of stupid jokes and scenes that are simply useless. The characters are irritating and the story is ridiculous. Avoid this film at all costs.""",French,NEGATIVE
Astérix aux Jeux Olympiques,2008,"In this film adaptation of the popular comic strip, Asterix and Obelix participate in the Olympic Games to help their lover friend win the victory.","""This film is a total disappointment. Jokes are uninterested and actors seem not to know what to do with their characters. Special effects are bad and history is flat and predictable. I recommend not wasting your time watching this film.""",French,NEGATIVE
Les Visiteurs en Amérique,2000,"In this suite of the French comedy The Visitors, the characters travel through time to modern America.","""The film is a total waste of time. The jokes are repetitive and boring, the characters are caricatured and irritating, and the story is stupid and inconsistent. I do not recommend this film to anyone.""",French,NEGATIVE
Babylon A.D.,2008,"In the distant future, a mercenary must escort a woman from Russia to New York. But when he discovers that the woman is pregnant with a very special child, he finds himself trained in a deadly conspiracy.","""This film is a complete mess. The characters are uninterested, the plot is confused and the special effects are bad. The film tries to be smart and cool, but unfortunately fails. Avoid this film at all costs.""",French,NEGATIVE
Roma,2018,Cleo (Yalitza Aparicio) is a young domestic worker who works for a middle-class family in Mexico City during the 1970s. The film follows her daily life and her relationships with her family and with her community.,"""Rome is a beautiful and moving film that pays tribute to the lives of domestic workers in Mexico. Cinematography is impressive and the performance of Yalitza Aparicio is exceptional.""",Spanish,POSITIVE
